Year,Make,Model,Trim,Doors,Type,price,Mileage,Accidents,Owners,Usage,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,Certified Pre-Owned,Listed since,car_url
2019,Honda,CR-V,LX,4dr,SUV,15000.0,65977.0,0,2,Personal use,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/honda/cr-v/2019/vin/5J6RW5H3XKL001461/?radius=25
2020,Honda,CR-V,LX,4dr,SUV,17000.0,42476.0,0,3,Rental vehicle,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/honda/cr-v/2020/vin/5J6RW2H20LA012861/?radius=25
2019,Honda,CR-V,LX,4dr,SUV,14900.0,80621.0,0,2,Personal use,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW5H30KH405749/?radius=25
2021,Honda,CR-V,EX-L,4dr,SUV,25949.0,17096.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-02-24,https://www.edmunds.com/honda/cr-v/2021/vin/5J6RW2H80MA010260/?radius=25
2023,Honda,CR-V,Sport Touring Hybrid,4dr,SUV,31685.0,6309.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-04-05,https://www.edmunds.com/honda/cr-v/2023/vin/7FARS6H93PE016068/?radius=25
2019,Honda,CR-V,EX,4dr,SUV,17500.0,55511.0,0,3,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW2H51KH663911/?radius=25
2020,Honda,CR-V,EX,4dr,SUV,17500.0,71437.0,0,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2024-01-23,https://www.edmunds.com/honda/cr-v/2020/vin/5J6RW2H57LA020725/?radius=25
2019,Honda,CR-V,EX,4dr,SUV,15900.0,25377.0,1,1,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2024-01-25,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW1H50KH511533/?radius=25
2021,Honda,CR-V,EX,4dr,SUV,24620.0,8435.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-03-02,https://www.edmunds.com/honda/cr-v/2021/vin/2HKRW2H59MH613213/?radius=25
2019,Honda,CR-V,LX,4dr,SUV,17400.0,42668.0,0,2,Personal use,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/honda/cr-v/2019/vin/5J6RW5H31KL001574/?radius=25
2012,Honda,CR-V,EX-L,4dr,SUV,13500.0,68568.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-02-25,https://www.edmunds.com/honda/cr-v/2012/vin/5J6RM4H77CL003351/?radius=25
2021,Honda,CR-V,EX-L,4dr,SUV,19500.0,33456.0,2,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2023-12-12,https://www.edmunds.com/honda/cr-v/2021/vin/7FARW1H89ME022290/?radius=25
2019,Honda,CR-V,LX,4dr,SUV,17000.0,28344.0,1,2,Personal use,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW6H3XKH209128/?radius=25
2019,Honda,CR-V,EX,4dr,SUV,18500.0,29164.0,1,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/honda/cr-v/2019/vin/JHLRW2H53KX016336/?radius=25
2023,Honda,CR-V,EX,4dr,SUV,29495.0,9535.0,0,2,Personal use,Clean Title,No,No,No,No,Yes,2024-02-20,https://www.edmunds.com/honda/cr-v/2023/vin/5J6RS4H47PL003822/?radius=25
2019,Honda,CR-V,EX,4dr,SUV,17500.0,41090.0,1,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2023-12-30,https://www.edmunds.com/honda/cr-v/2019/vin/7FARW2H54KE033125/?radius=25
2019,Honda,CR-V,LX,4dr,SUV,16400.0,50413.0,0,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2023-11-20,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW6H33KH222738/?radius=25
2019,Honda,CR-V,LX,4dr,SUV,16900.0,38753.0,1,2,Personal use,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW5H34KH401011/?radius=25
2019,Honda,CR-V,Touring,4dr,SUV,23867.0,48134.0,0,1,Personal use only,Clean Title,No,No,No,No,Yes,2024-03-04,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW2H93KH621520/?radius=25
2019,Honda,CR-V,LX,4dr,SUV,16900.0,51441.0,0,3,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW6H33KH219368/?radius=25
2019,Honda,CR-V,EX-L,4dr,SUV,17500.0,70649.0,1,2,Personal use only,Clean Title,No,No,No,No,No,2024-01-25,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW2H85KH623339/?radius=25
2019,Honda,CR-V,EX-L,4dr,SUV,24995.0,10227.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-02-10,https://www.edmunds.com/honda/cr-v/2019/vin/7FARW2H80KE042656/?radius=25
2020,Honda,CR-V,LX,4dr,SUV,17500.0,39896.0,1,3,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2023-12-12,https://www.edmunds.com/honda/cr-v/2020/vin/5J6RW2H22LL015796/?radius=25
2007,Honda,CR-V,LX,4dr,SUV,4499.0,196764.0,3,2,Personal use,Clean Title,No,No,No,No,No,2024-02-27,https://www.edmunds.com/honda/cr-v/2007/vin/JHLRE48367C052677/?radius=25
2017,Honda,CR-V,Touring,4dr,SUV,18678.0,84128.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2024-03-28,https://www.edmunds.com/honda/cr-v/2017/vin/5J6RW2H94HL066995/?radius=25
2019,Honda,CR-V,LX,4dr,SUV,17400.0,35662.0,1,2,Personal use,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/honda/cr-v/2019/vin/5J6RW5H38KL001507/?radius=25
2012,Honda,CR-V,LX,4dr,SUV,8499.0,148069.0,0,1,Personal use,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2012/vin/5J6RM4H39CL078842/?radius=25
