Year,Make,Model,Trim,Type,Price,Mileage,Accidents,Owners,Usage,car_url
2021,Mazda,CX-5,Grand Touring Reserve,SUV,21815.0,43780.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBAY1M0412593/?radius=25
2021,Mazda,CX-5,Grand Touring,SUV,20998.0,32963.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM8M0302486/?radius=25
2021,Mazda,CX-5,Touring,SUV,17588.0,54762.0,0,1,Rental vehicle,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM9M0356252/?radius=25
2024,Mazda,CX-50,2.5 Turbo Premium,SUV,34788.0,6445.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-50/2024/vin/7MMVABDY2RN162985/?radius=25
2020,Mazda,CX-5,Grand Touring,SUV,16995.0,53761.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBDM8L1741986/?radius=25
2023,Mazda,CX-50,2.5 Turbo Meridian Edition,SUV,34450.0,4088.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-50/2023/vin/7MMVABXY1PN136922/?radius=25
2023,Mazda,CX-5,2.5 S Preferred,SUV,23157.0,24956.0,0,1,Rental vehicle,https://www.edmunds.com/mazda/cx-5/2023/vin/JM3KFBCM3P0194610/?radius=25
2021,Mazda,CX-5,Touring,SUV,20988.0,46093.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCMXM0351481/?radius=25
2022,Mazda,CX-5,2.5 S Select,SUV,23104.0,20170.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBBM5N0527792/?radius=25
2020,Mazda,CX-5,Grand Touring,SUV,18489.0,61761.0,0,1,Corporate fleet vehicle,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBDM6L1748242/?radius=25
2021,Mazda,CX-5,Grand Touring,SUV,22901.0,42495.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM5M0364377/?radius=25
2020,Mazda,CX-5,Grand Touring,SUV,23518.0,26710.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBDM0L0868642/?radius=25
2021,Mazda,CX-5,Touring,SUV,22836.0,29510.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM6M0364468/?radius=25
2024,Mazda,CX-5,2.5 S Carbon Edition,SUV,29900.0,6110.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2024/vin/JM3KFBCM4R0362094/?radius=25
2024,Mazda,CX-5,2.5 S Preferred,SUV,29487.0,5355.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2024/vin/JM3KFBCM8R0351048/?radius=25
2021,Mazda,CX-5,Sport,SUV,20976.0,31405.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBBM6M0310587/?radius=25
2022,Mazda,CX-5,2.5 S Carbon Edition,SUV,24939.0,32065.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBCM4N0532013/?radius=25
2021,Mazda,CX-5,Grand Touring,SUV,23544.0,34025.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM1M1444981/?radius=25
2021,Mazda,CX-5,Touring,SUV,22795.0,27789.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCMXM0309893/?radius=25
2021,Mazda,CX-5,Grand Touring,SUV,23901.0,29980.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM8M1332758/?radius=25
2023,Mazda,CX-5,2.5 S Carbon Edition,SUV,28895.0,1816.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-5/2023/vin/JM3KFBCM2P0244557/?radius=25
2023,Mazda,CX-50,2.5 Turbo Meridian Edition,SUV,35500.0,6441.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-50/2023/vin/7MMVABXY7PN136553/?radius=25
2021,Mazda,CX-5,Touring,SUV,21898.0,26675.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM4M1332886/?radius=25
2021,Mazda,CX-5,Grand Touring,SUV,25255.0,8223.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM7M0414213/?radius=25
2020,Mazda,CX-5,Touring,SUV,21998.0,24090.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBCM5L0766450/?radius=25
2022,Mazda,CX-5,2.5 Turbo Signature,SUV,31399.0,8055.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBXY2N0585239/?radius=25
2020,Mazda,CX-5,Touring,SUV,21985.0,20943.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBCM7L1867838/?radius=25
2021,Mazda,CX-5,Carbon Edition,SUV,24816.0,11686.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM1M0383557/?radius=25
2024,Mazda,CX-5,2.5 S Premium Plus,SUV,33844.0,5795.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2024/vin/JM3KFBEM7R0350602/?radius=25
2021,Mazda,CX-5,Touring,SUV,22995.0,19351.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM5M0377048/?radius=25
2021,Mazda,CX-5,Grand Touring,SUV,24288.0,25725.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM5M0494434/?radius=25
2024,Mazda,CX-5,2.5 Turbo Premium,SUV,34635.0,7615.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2024/vin/JM3KFBDY5R0361781/?radius=25
2021,Mazda,CX-5,Touring,SUV,22995.0,18938.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM8M1420887/?radius=25
2023,Mazda,CX-5,2.5 Turbo Signature,SUV,33420.0,6905.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2023/vin/JM3KFBXY4P0289755/?radius=25
2021,Mazda,CX-5,Touring,SUV,23489.0,19025.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM0M0382044/?radius=25
2021,Mazda,CX-5,Touring,SUV,22399.0,34555.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM4M0313289/?radius=25
2020,Mazda,CX-5,Touring,SUV,21695.0,26635.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBCM8L0842131/?radius=25
2021,Mazda,CX-5,Sport,SUV,21500.0,20997.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBBM2M0325491/?radius=25
2023,Mazda,CX-5,2.5 S Preferred,SUV,26999.0,9716.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-5/2023/vin/JM3KFBCM1P0231007/?radius=25
2021,Mazda,CX-5,Grand Touring,SUV,23215.0,39310.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM7M1336560/?radius=25
2021,Mazda,CX-5,Touring,SUV,22298.0,34551.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM4M0310666/?radius=25
2022,Mazda,CX-5,2.5 Turbo Signature,SUV,30731.0,12251.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBXY1N0636374/?radius=25
2021,Mazda,CX-5,Touring,SUV,22845.0,28292.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM8M1387180/?radius=25
2021,Mazda,CX-5,Grand Touring Reserve,SUV,25995.0,27746.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBAY0M0366982/?radius=25
2023,Mazda,CX-50,2.5 Turbo Meridian Edition,SUV,36200.0,5268.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-50/2023/vin/7MMVABXY5PN136857/?radius=25
2021,Mazda,CX-5,Touring,SUV,21981.0,28363.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM6M1308881/?radius=25
2022,Mazda,CX-5,2.5 Turbo Signature,SUV,29995.0,21338.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBXYXN0639838/?radius=25
2021,Mazda,CX-5,Grand Touring,SUV,24522.0,17376.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM1M1340703/?radius=25
2021,Mazda,CX-5,Sport,SUV,21000.0,15648.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBBM8M0367423/?radius=25
2021,Mazda,CX-5,Sport,SUV,21491.0,22357.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBBM8M0399319/?radius=25
2021,Mazda,CX-5,Grand Touring,SUV,23700.0,32269.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM5M0469646/?radius=25
2021,Mazda,CX-5,Touring,SUV,21895.0,42304.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM7M0311553/?radius=25
2021,Mazda,CX-5,Touring,SUV,22199.0,38509.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCMXM1336408/?radius=25
2021,Mazda,CX-5,Touring,SUV,21515.0,26667.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM1M0402656/?radius=25
2020,Mazda,CX-5,Touring,SUV,22888.0,21443.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBCM5L0868041/?radius=25
2023,Mazda,CX-5,2.5 Turbo Signature,SUV,30500.0,20592.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-5/2023/vin/JM3KFBXYXP0196089/?radius=25
2021,Mazda,CX-5,Touring,SUV,22857.0,26573.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM6M0399849/?radius=25
2021,Mazda,CX-5,Grand Touring,SUV,22499.0,56675.0,0,1,Rental vehicle,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM7M0356913/?radius=25
2023,Mazda,CX-50,2.5 Turbo Premium Plus,SUV,38278.0,7949.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-50/2023/vin/7MMVABEY0PN125350/?radius=25
2021,Mazda,CX-5,Touring,SUV,23900.0,26131.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM4M1432728/?radius=25
2023,Mazda,CX-5,2.5 S Preferred,SUV,22520.0,26698.0,0,1,Rental vehicle,https://www.edmunds.com/mazda/cx-5/2023/vin/JM3KFBCM1P0200887/?radius=25
2024,Mazda,CX-5,2.5 S Carbon Edition,SUV,32590.0,4210.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2024/vin/JM3KFBCM7R0369332/?radius=25
2021,Mazda,CX-5,Touring,SUV,26950.0,16169.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCMXM0368927/?radius=25
2021,Mazda,CX-5,Grand Touring Reserve,SUV,21815.0,43780.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBAY1M0412593/?radius=25
2021,Mazda,CX-5,Grand Touring,SUV,20998.0,32963.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM8M0302486/?radius=25
2021,Mazda,CX-5,Touring,SUV,17588.0,54762.0,0,1,Rental vehicle,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM9M0356252/?radius=25
2024,Mazda,CX-50,2.5 Turbo Premium,SUV,34788.0,6445.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-50/2024/vin/7MMVABDY2RN162985/?radius=25
