Year,Make,Model,Trim,Doors,Type,price,Mileage,Accidents,Owners,Usage,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,Certified Pre-Owned,Listed since,car_url
2010,Toyota,RAV4,Base,4dr,SUV,6999.0,154830.0,0,4,Corporate fleet vehicle,Clean Title,No,No,No,No,No,,https://www.edmunds.com/toyota/rav4/2010/vin/2T3BF4DV2AW034006/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,18879.0,59711.0,1,1,Rental vehicle,Clean Title,No,No,No,No,No,2024-01-24,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV4MC144673/?radius=25
2022,Toyota,RAV4,LE,4dr,SUV,20900.0,31372.0,1,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2023-12-30,https://www.edmunds.com/toyota/rav4/2022/vin/2T3F1RFV5NW290088/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,16900.0,64709.0,1,3,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2024-01-25,https://www.edmunds.com/toyota/rav4/2021/vin/2T3W1RFV3MW115112/?radius=25
2020,Toyota,RAV4,LE,4dr,SUV,18980.0,91273.0,0,2,Rental vehicle,Clean Title,No,No,No,No,No,2024-02-21,https://www.edmunds.com/toyota/rav4/2020/vin/2T3F1RFV4LW103405/?radius=25
2019,Toyota,RAV4,XLE,Premium,4dr,20000.0,73800.0,0,2,Personal use only,Clean Title,No,No,No,No,No,2024-01-25,https://www.edmunds.com/toyota/rav4/2019/vin/2T3A1RFV8KC056406/?radius=25
2018,Toyota,RAV4,LE,4dr,SUV,17500.0,30335.0,0,2,Personal use,Clean Title,No,No,No,No,No,2023-09-26,https://www.edmunds.com/toyota/rav4/2018/vin/JTMBFREV8JD228404/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,19885.0,58018.0,1,1,Rental vehicle,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV0MW202518/?radius=25
2019,Toyota,RAV4,LE,4dr,SUV,18500.0,49030.0,0,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2023-12-21,https://www.edmunds.com/toyota/rav4/2019/vin/2T3H1RFV4KW051670/?radius=25
2010,Toyota,RAV4,Base,4dr,SUV,7799.0,150117.0,1,4,Personal use only,Clean Title,No,No,No,No,No,,https://www.edmunds.com/toyota/rav4/2010/vin/2T3BK4DV9AW018994/?radius=25
