Year,Make,Model,Trim,Price,Mileage,Miles_threshold,Listed since,car_url,Days_on_market
2019,Toyota,RAV4,LE,20000.0,35680.0,75000,2024-02-16,https://www.edmunds.com/toyota/rav4/2019/vin/JTMG1RFV6KJ011326/?radius=25,61.0
2021,Toyota,RAV4,XLE,20488.0,41485.0,45000,2024-03-26,https://www.edmunds.com/toyota/rav4/2021/vin/2T3W1RFV4MC091369/?radius=25,22.0
2019,Toyota,RAV4,LE,21420.0,25883.0,75000,2024-02-08,https://www.edmunds.com/toyota/rav4/2019/vin/JTMF1RFV7KD506533/?radius=25,69.0
2021,Toyota,RAV4,LE,21907.0,30350.0,45000,2024-02-23,https://www.edmunds.com/toyota/rav4/2021/vin/2T3G1RFV2MC163013/?radius=25,54.0
2021,Toyota,RAV4,LE,21959.0,44766.0,45000,2024-02-29,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV5MC191254/?radius=25,48.0
2020,Toyota,RAV4,LE,21980.0,33025.0,60000,2023-11-07,https://www.edmunds.com/toyota/rav4/2020/vin/2T3F1RFV2LC136419/?radius=25,162.0
2021,Toyota,RAV4,LE,21995.0,25673.0,45000,2024-02-09,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV3MC174923/?radius=25,68.0
2020,Toyota,RAV4,LE,22693.0,17102.0,60000,2024-02-11,https://www.edmunds.com/toyota/rav4/2020/vin/2T3F1RFV4LW132709/?radius=25,66.0
2021,Toyota,RAV4,XLE,22990.0,32669.0,45000,2024-01-31,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV8MW176492/?radius=25,77.0
2019,Toyota,RAV4,LE,22995.0,47400.0,75000,2024-04-08,https://www.edmunds.com/toyota/rav4/2019/vin/2T3G1RFV8KW058875/?radius=25,9.0
2019,Toyota,RAV4,LE,22998.0,70429.0,75000,,https://www.edmunds.com/toyota/rav4/2019/vin/JTMG1RFV9KD512581/?radius=25,
2020,Toyota,RAV4,LE,22999.0,33662.0,60000,2024-03-23,https://www.edmunds.com/toyota/rav4/2020/vin/2T3F1RFV6LC065936/?radius=25,25.0
2019,Toyota,RAV4,XLE,23198.0,49710.0,75000,2023-12-13,https://www.edmunds.com/toyota/rav4/2019/vin/2T3P1RFV6KC027772/?radius=25,126.0
2021,Toyota,RAV4,LE,23259.0,39556.0,45000,2023-11-07,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV4MW146319/?radius=25,162.0
2021,Toyota,RAV4,LE,23264.0,32568.0,45000,2024-01-15,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV8MC164095/?radius=25,93.0
2021,Toyota,RAV4,LE,23523.0,44043.0,45000,,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV9MW161429/?radius=25,
2021,Toyota,RAV4,LE,23555.0,43313.0,45000,2024-03-15,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV8MC195976/?radius=25,33.0
2020,Toyota,RAV4,LE,23638.0,39386.0,60000,,https://www.edmunds.com/toyota/rav4/2020/vin/2T3F1RFV3LC073587/?radius=25,
2021,Toyota,RAV4,LE,23791.0,36340.0,45000,2024-01-24,https://www.edmunds.com/toyota/rav4/2021/vin/2T3G1RFV8MC181693/?radius=25,84.0
2021,Toyota,RAV4,LE,23829.0,20204.0,45000,2024-02-15,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV7MC167781/?radius=25,62.0
2020,Toyota,RAV4,LE,23856.0,51190.0,60000,,https://www.edmunds.com/toyota/rav4/2020/vin/2T3F1RFVXLC101840/?radius=25,
2021,Toyota,RAV4,LE,23959.0,36429.0,45000,2024-01-25,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV5MW143302/?radius=25,83.0
2021,Toyota,RAV4,XLE,23990.0,26623.0,45000,2024-04-08,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV7MC145686/?radius=25,9.0
2021,Toyota,RAV4,LE,23991.0,28076.0,45000,2024-03-19,https://www.edmunds.com/toyota/rav4/2021/vin/2T3G1RFVXMC197393/?radius=25,29.0
2021,Toyota,RAV4,LE,23995.0,33950.0,45000,2024-02-27,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV0MC155780/?radius=25,50.0
2021,Toyota,RAV4,LE,23995.0,33950.0,45000,2024-02-27,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV0MC155780/?radius=25,50.0
2020,Toyota,RAV4,XLE,23995.0,53034.0,60000,,https://www.edmunds.com/toyota/rav4/2020/vin/2T3W1RFV8LW065645/?radius=25,
2019,Toyota,RAV4,LE,23998.0,63522.0,75000,,https://www.edmunds.com/toyota/rav4/2019/vin/2T3G1RFV0KW026101/?radius=25,
2021,Toyota,RAV4,LE,23999.0,31539.0,45000,2024-02-01,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV1MC150295/?radius=25,76.0
2021,Toyota,RAV4,LE,23999.0,31086.0,45000,2024-01-06,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV8MC148480/?radius=25,102.0
2021,Toyota,RAV4,LE,24080.0,37015.0,45000,2024-03-27,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFVXMW197517/?radius=25,21.0
2021,Toyota,RAV4,LE,24115.0,16242.0,45000,2024-03-05,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV8MW156657/?radius=25,43.0
2021,Toyota,RAV4,LE,24154.0,19150.0,45000,2024-03-08,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV6MC178318/?radius=25,40.0
2021,Toyota,RAV4,LE,24240.0,16424.0,45000,2024-02-20,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV5MC179640/?radius=25,57.0
2021,Toyota,RAV4,LE,24297.0,35439.0,45000,2024-04-01,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV7MC154397/?radius=25,16.0
2021,Toyota,RAV4,LE,24390.0,12551.0,45000,2024-04-06,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV5MC211177/?radius=25,11.0
2021,Toyota,RAV4,XLE,24390.0,40488.0,45000,2024-01-29,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV7MW177634/?radius=25,79.0
2021,Toyota,RAV4,LE,24395.0,28461.0,45000,,https://www.edmunds.com/toyota/rav4/2021/vin/2T3G1RFV6MC200855/?radius=25,
2020,Toyota,RAV4,LE,24395.0,43841.0,60000,2024-02-06,https://www.edmunds.com/toyota/rav4/2020/vin/JTMG1RFV0LD061882/?radius=25,71.0
2021,Toyota,RAV4,LE,24398.0,41251.0,45000,2024-03-29,https://www.edmunds.com/toyota/rav4/2021/vin/2T3G1RFV6MC199383/?radius=25,19.0
2021,Toyota,RAV4,LE,24469.0,33817.0,45000,2024-02-28,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFVXMC202006/?radius=25,49.0
2021,Toyota,RAV4,LE,24491.0,35084.0,45000,2024-02-17,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV5MC173319/?radius=25,60.0
2021,Toyota,RAV4,LE,24494.0,32554.0,45000,2024-03-19,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV0MC168691/?radius=25,29.0
2021,Toyota,RAV4,LE,24494.0,27635.0,45000,2024-03-08,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV6MW181735/?radius=25,40.0
