Year,Make,Model,Trim,price,Mileage,Accidents,Owners,Usage,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,Certified Pre-Owned,Listed since,car_url,Miles_threshold,Days_on_market
2019,Toyota,RAV4,LE,20000.0,35680.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2024-02-16,https://www.edmunds.com/toyota/rav4/2019/vin/JTMG1RFV6KJ011326/?radius=25,75000,61.0
2021,Toyota,RAV4,XLE,20488.0,41485.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-03-26,https://www.edmunds.com/toyota/rav4/2021/vin/2T3W1RFV4MC091369/?radius=25,45000,22.0
2019,Toyota,RAV4,LE,21420.0,25883.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2024-02-08,https://www.edmunds.com/toyota/rav4/2019/vin/JTMF1RFV7KD506533/?radius=25,75000,69.0
2021,Toyota,RAV4,LE,21907.0,30350.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-02-23,https://www.edmunds.com/toyota/rav4/2021/vin/2T3G1RFV2MC163013/?radius=25,45000,54.0
2021,Toyota,RAV4,LE,21959.0,44766.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-02-29,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV5MC191254/?radius=25,45000,48.0
2020,Toyota,RAV4,LE,21980.0,33025.0,0,1,Personal use,Clean Title,No,No,No,No,No,2023-11-07,https://www.edmunds.com/toyota/rav4/2020/vin/2T3F1RFV2LC136419/?radius=25,60000,162.0
2021,Toyota,RAV4,LE,21995.0,25673.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-02-09,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV3MC174923/?radius=25,45000,68.0
2020,Toyota,RAV4,LE,22693.0,17102.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-02-11,https://www.edmunds.com/toyota/rav4/2020/vin/2T3F1RFV4LW132709/?radius=25,60000,66.0
2021,Toyota,RAV4,XLE,22990.0,32669.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-01-31,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV8MW176492/?radius=25,45000,77.0
2019,Toyota,RAV4,LE,22995.0,47400.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-04-08,https://www.edmunds.com/toyota/rav4/2019/vin/2T3G1RFV8KW058875/?radius=25,75000,9.0
2019,Toyota,RAV4,LE,22998.0,70429.0,0,1,Personal use,Clean Title,No,No,No,No,No,,https://www.edmunds.com/toyota/rav4/2019/vin/JTMG1RFV9KD512581/?radius=25,75000,
2020,Toyota,RAV4,LE,22999.0,33662.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2024-03-23,https://www.edmunds.com/toyota/rav4/2020/vin/2T3F1RFV6LC065936/?radius=25,60000,25.0
2019,Toyota,RAV4,XLE,23198.0,49710.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2023-12-13,https://www.edmunds.com/toyota/rav4/2019/vin/2T3P1RFV6KC027772/?radius=25,75000,126.0
2021,Toyota,RAV4,LE,23259.0,39556.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2023-11-07,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV4MW146319/?radius=25,45000,162.0
2021,Toyota,RAV4,LE,23264.0,32568.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-01-15,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV8MC164095/?radius=25,45000,93.0
2021,Toyota,RAV4,LE,23523.0,44043.0,0,1,Personal use,Clean Title,No,No,No,No,No,,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV9MW161429/?radius=25,45000,
2021,Toyota,RAV4,LE,23555.0,43313.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-03-15,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV8MC195976/?radius=25,45000,33.0
2020,Toyota,RAV4,LE,23638.0,39386.0,0,1,Personal use only,Clean Title,No,No,No,No,No,,https://www.edmunds.com/toyota/rav4/2020/vin/2T3F1RFV3LC073587/?radius=25,60000,
2021,Toyota,RAV4,LE,23791.0,36340.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-01-24,https://www.edmunds.com/toyota/rav4/2021/vin/2T3G1RFV8MC181693/?radius=25,45000,84.0
2021,Toyota,RAV4,LE,23829.0,20204.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-02-15,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV7MC167781/?radius=25,45000,62.0
2020,Toyota,RAV4,LE,23856.0,51190.0,0,1,Personal use,Clean Title,No,No,No,No,No,,https://www.edmunds.com/toyota/rav4/2020/vin/2T3F1RFVXLC101840/?radius=25,60000,
2021,Toyota,RAV4,LE,23959.0,36429.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-01-25,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV5MW143302/?radius=25,45000,83.0
2021,Toyota,RAV4,XLE,23990.0,26623.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-04-08,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV7MC145686/?radius=25,45000,9.0
2021,Toyota,RAV4,LE,23991.0,28076.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-03-19,https://www.edmunds.com/toyota/rav4/2021/vin/2T3G1RFVXMC197393/?radius=25,45000,29.0
2021,Toyota,RAV4,LE,23995.0,33950.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-02-27,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV0MC155780/?radius=25,45000,50.0
2021,Toyota,RAV4,LE,23995.0,33950.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-02-27,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV0MC155780/?radius=25,45000,50.0
2020,Toyota,RAV4,XLE,23995.0,53034.0,0,1,Personal use only,Clean Title,No,No,No,No,No,,https://www.edmunds.com/toyota/rav4/2020/vin/2T3W1RFV8LW065645/?radius=25,60000,
2019,Toyota,RAV4,LE,23998.0,63522.0,0,1,Personal use only,Clean Title,No,No,No,No,No,,https://www.edmunds.com/toyota/rav4/2019/vin/2T3G1RFV0KW026101/?radius=25,75000,
2021,Toyota,RAV4,LE,23999.0,31539.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-02-01,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV1MC150295/?radius=25,45000,76.0
