Year,Make,Model,Trim,Doors,Type,Price,Mileage,Accidents,Owners,Usage,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,Certified Pre-Owned,Listed since,car_url,Miles_threshold,Days_on_market
2019,Honda,CR-V,LX,4dr,SUV,19418.0,71260.0,0,1,Personal use only,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW5H35KH400076/?radius=25,75000,
2020,Honda,Pilot,EX,4dr,SUV,19800.0,57108.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-03-26,https://www.edmunds.com/honda/pilot/2020/vin/5FNYF6H32LB062492/?radius=25,60000,22.0
2020,Honda,CR-V,LX,4dr,SUV,20329.0,40979.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-03-29,https://www.edmunds.com/honda/cr-v/2020/vin/2HKRW2H23LH666820/?radius=25,60000,19.0
2019,Honda,CR-V,EX,4dr,SUV,20439.0,45641.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-03-29,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW2H55KH643239/?radius=25,75000,19.0
2019,Honda,CR-V,EX,4dr,SUV,20688.0,56313.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2024-02-28,https://www.edmunds.com/honda/cr-v/2019/vin/5J6RW2H56KL001523/?radius=25,75000,49.0
2020,Honda,CR-V,LX,4dr,SUV,20778.0,34774.0,0,1,Personal use,Clean Title,No,No,No,No,No,2023-06-30,https://www.edmunds.com/honda/cr-v/2020/vin/2HKRW2H21LH626929/?radius=25,60000,292.0
2019,Honda,CR-V,LX,4dr,SUV,20998.0,66835.0,0,1,Personal use only,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW6H32KH219264/?radius=25,75000,
2020,Honda,CR-V,LX,4dr,SUV,20999.0,43365.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-02-23,https://www.edmunds.com/honda/cr-v/2020/vin/2HKRW2H27LH653116/?radius=25,60000,54.0
2021,Honda,CR-V,LX,4dr,SUV,21329.0,37250.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-03-28,https://www.edmunds.com/honda/cr-v/2021/vin/2HKRW2H24MH636940/?radius=25,45000,20.0
2020,Honda,CR-V,EX,4dr,SUV,21489.0,49710.0,0,1,Personal use,Clean Title,No,No,No,No,No,2023-11-17,https://www.edmunds.com/honda/cr-v/2020/vin/5J6RW2H54LA022108/?radius=25,60000,152.0
2019,Honda,CR-V,LX,4dr,SUV,21590.0,61663.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-03-17,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW5H34KH419296/?radius=25,75000,31.0
2019,Honda,CR-V,EX-L,4dr,SUV,21681.0,72386.0,0,1,Personal use only,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2019/vin/7FARW2H86KE051474/?radius=25,75000,
2020,Honda,CR-V,EX,4dr,SUV,21777.0,38817.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-04-07,https://www.edmunds.com/honda/cr-v/2020/vin/2HKRW2H59LH681848/?radius=25,60000,10.0
2019,Honda,CR-V,EX-L,4dr,SUV,21980.0,56194.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-02-03,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW2H85KH672315/?radius=25,75000,74.0
2019,Honda,CR-V,EX,4dr,SUV,21995.0,51867.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-04-06,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW2H5XKH634410/?radius=25,75000,11.0
2019,Honda,CR-V,LX,4dr,SUV,21998.0,64897.0,0,1,Personal use only,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW5H32KH400181/?radius=25,75000,
2021,Honda,CR-V,EX,4dr,SUV,22139.0,13004.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-02-02,https://www.edmunds.com/honda/cr-v/2021/vin/5J6RW2H5XMA007209/?radius=25,45000,75.0
2020,Honda,CR-V,EX,4dr,SUV,22200.0,36627.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-02-21,https://www.edmunds.com/honda/cr-v/2020/vin/5J6RW2H55LA021209/?radius=25,60000,56.0
