year,make,model,trim,style,price,mileage,Accident Free Vehicle,Personal Use Only,History Provider,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,Free History Report,VIN,Stock,Certified Pre-Owned,Listed since,accidents,owners,usage,url
2021,Mazda,3,Select,4dr Hatchback,16998.0,19352.0,No,Yes,AutoCheck,Clean Title,No,No,No,No,No,JM1BPBKL9M1335023,STK335023,No,2024-02-22,1 Accident, 1 Owner, Personal use,https://www.edmunds.com/mazda/3/2021/vin/JM1BPBKL9M1335023/?radius=25
2021,Toyota,Camry,SE,Sedan,15980.0,71979.0,Yes,No,AutoCheck,Clean Title,No,No,No,No,No,4T1G11AK9MU481149,O3963P,No,2024-02-22,No accidents, 3 Owners, Rental vehicle,https://www.edmunds.com/toyota/camry/2021/vin/4T1G11AK9MU481149/?radius=25
2021,Toyota,Corolla,LE,Sedan,15900.0,18916.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,5YFEPMAE0MP171975,71975,No,2023-12-26,No accidents, 2 Owners, Personal use,https://www.edmunds.com/toyota/corolla/2021/vin/5YFEPMAE0MP171975/?radius=25
2022,Toyota,Camry,SE,Sedan,17500.0,30610.0,Yes,No,AutoCheck,Clean Title,No,No,No,No,No,4T1G11AK7NU703883,03883,No,2024-01-25,No accidents, 2 Owners, Rental vehicle,https://www.edmunds.com/toyota/camry/2022/vin/4T1G11AK7NU703883/?radius=25
2021,Honda,Civic,Sport,Sedan,15400.0,36813.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,19XFC2F87ME203071,203071,No,2023-11-20,No accidents, 2 Owners, Personal use only,https://www.edmunds.com/honda/civic/2021/vin/19XFC2F87ME203071/?radius=25
2021,Honda,Civic,Sport,Sedan,17400.0,16202.0,Yes,No,AutoCheck,Clean Title,No,No,No,No,No,2HGFC2F8XMH549041,549041,No,2024-03-22,No accidents, 2 Owners, Corporate fleet vehicle,https://www.edmunds.com/honda/civic/2021/vin/2HGFC2F8XMH549041/?radius=25
2021,Toyota,Corolla,LE,Sedan,12700.0,64439.0,Yes,No,AutoCheck,Clean Title,No,No,No,No,No,5YFEPMAE3MP182985,82985,No,2024-01-25,No accidents, 3 Owners, Corporate fleet vehicle,https://www.edmunds.com/toyota/corolla/2021/vin/5YFEPMAE3MP182985/?radius=25
2021,Mazda,3,Select,4dr Hatchback,15500.0,58281.0,Yes,No,AutoCheck,Clean Title,No,No,No,No,No,JM1BPAKL1M1336807,U17729,No,2024-02-16,No accidents, 1 Owner, Rental vehicle,https://www.edmunds.com/mazda/3/2021/vin/JM1BPAKL1M1336807/?radius=25
2021,Toyota,Camry,LE,Sedan,17888.0,43270.0,Yes,No,AutoCheck,Clean Title,No,No,No,No,No,4T1C11AKXMU550686,M67549,No,2022-12-15,No accidents, 1 Owner, Corporate fleet vehicle,https://www.edmunds.com/toyota/camry/2021/vin/4T1C11AKXMU550686/?radius=25
2021,Honda,Civic,Sport,Sedan,16500.0,42838.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,19XFC2F82ME202443,02443,No,2023-12-27,No accidents, 2 Owners, Personal use only,https://www.edmunds.com/honda/civic/2021/vin/19XFC2F82ME202443/?radius=25
2021,Honda,Civic,Sport,Sedan,17900.0,20351.0,Yes,No,AutoCheck,Clean Title,No,No,No,No,No,19XFC2F84ME200919,200919,No,2024-03-22,No accidents, 2 Owners, Corporate fleet vehicle,https://www.edmunds.com/honda/civic/2021/vin/19XFC2F84ME200919/?radius=25
2023,Toyota,Camry,SE,Nightshade Edition Sedan,25498.0,14065.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,4T1G11BK4PU088128,STK088128,No,2024-03-11,No accidents, 1 Owner, Personal use only,https://www.edmunds.com/toyota/camry/2023/vin/4T1G11BK4PU088128/?radius=25
2022,Honda,Civic,Sport,4dr Hatchback,20685.0,68870.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,19XFL2H86NE001482,VE0751,No,2024-02-22,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2022/vin/19XFL2H86NE001482/?radius=25
2023,Honda,Civic,Type,R 4dr Hatchback,42821.0,10565.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JHMFL5G41PX001682,HHPX001682U,Yes,2024-03-27,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2023/vin/JHMFL5G41PX001682/?radius=25
2023,Honda,Civic,Sport,Sedan,23750.0,10593.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFE2F56PH514209,U17772,Yes,2024-02-26,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2023/vin/2HGFE2F56PH514209/?radius=25
2022,Honda,Civic,Sport,Sedan,19998.0,52331.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HGFE2F52NH516441,STK516441,No,2024-02-23,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/civic/2022/vin/2HGFE2F52NH516441/?radius=25
2021,Toyota,Camry,SE,Sedan,17095.0,63371.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,4T1G11AK2MU584106,3913P,No,2024-02-08,No accidents, 1 Owner, Personal use only,https://www.edmunds.com/toyota/camry/2021/vin/4T1G11AK2MU584106/?radius=25
2021,Toyota,Camry,XSE,Sedan,24895.0,8325.0,No,Yes,AutoCheck,Clean Title,No,No,No,No,No,4T1K61AK1MU518254,T18063,No,2024-04-10,1 Accident, 1 Owner, Personal use,https://www.edmunds.com/toyota/camry/2021/vin/4T1K61AK1MU518254/?radius=25
2021,Toyota,Corolla,LE,Sedan,17799.0,31597.0,No,Yes,AutoCheck,Clean Title,No,No,No,No,No,JTDEPMAE0MJ170894,FU7947,Yes,2024-02-20,1 Accident, 1 Owner, Personal use,https://www.edmunds.com/toyota/corolla/2021/vin/JTDEPMAE0MJ170894/?radius=25
2022,Toyota,Camry,SE,Sedan,18495.0,50607.0,Yes,No,AutoCheck,Clean Title,No,No,No,No,No,4T1G11AK9NU045449,373A,No,2024-03-06,No accidents, 1 Owner, Corporate fleet vehicle,https://www.edmunds.com/toyota/camry/2022/vin/4T1G11AK9NU045449/?radius=25
2021,Toyota,Corolla,LE,Sedan,18495.0,20668.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JTDVPMAE6MJ137690,T18012,No,2024-03-19,No accidents, 1 Owner, Personal use,https://www.edmunds.com/toyota/corolla/2021/vin/JTDVPMAE6MJ137690/?radius=25
