year_make_model,trim_style,price,url,mileage,accidents_owners_usage,Accident Free Vehicle,Personal Use Only,History Provider,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,Free History Report,VIN,Stock,Certified Pre-Owned,Listed since
2021 Mazda 3,Select 4dr Hatchback,"$16,998",https://www.edmunds.com/mazda/3/2021/vin/JM1BPBKL9M1335023/?radius=25,"19,352 miles","1 Accident, 1 Owner, Personal use",No,Yes,AutoCheck,Clean Title,No,No,No,No,No,JM1BPBKL9M1335023,STK335023,No,02-22-2024
2021 Toyota Camry,SE Sedan,"$15,980",https://www.edmunds.com/toyota/camry/2021/vin/4T1G11AK9MU481149/?radius=25,"71,979 miles","No accidents, 3 Owners, Rental vehicle",Yes,No,AutoCheck,Clean Title,No,No,No,No,No,4T1G11AK9MU481149,O3963P,No,02-22-2024
2021 Toyota Corolla,LE Sedan,"$15,900",https://www.edmunds.com/toyota/corolla/2021/vin/5YFEPMAE0MP171975/?radius=25,"18,916 miles","No accidents, 2 Owners, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,5YFEPMAE0MP171975,71975,No,12-26-2023
2022 Toyota Camry,SE Sedan,"$17,500",https://www.edmunds.com/toyota/camry/2022/vin/4T1G11AK7NU703883/?radius=25,"30,610 miles","No accidents, 2 Owners, Rental vehicle",Yes,No,AutoCheck,Clean Title,No,No,No,No,No,4T1G11AK7NU703883,03883,No,01-25-2024
2021 Honda Civic,Sport Sedan,"$15,400",https://www.edmunds.com/honda/civic/2021/vin/19XFC2F87ME203071/?radius=25,"36,813 miles","No accidents, 2 Owners, Personal use only",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,19XFC2F87ME203071,203071,No,11-20-2023
2021 Honda Civic,Sport Sedan,"$17,400",https://www.edmunds.com/honda/civic/2021/vin/2HGFC2F8XMH549041/?radius=25,"16,202 miles","No accidents, 2 Owners, Corporate fleet vehicle",Yes,No,AutoCheck,Clean Title,No,No,No,No,No,2HGFC2F8XMH549041,549041,No,03-22-2024
2021 Toyota Corolla,LE Sedan,"$12,700",https://www.edmunds.com/toyota/corolla/2021/vin/5YFEPMAE3MP182985/?radius=25,"64,439 miles","No accidents, 3 Owners, Corporate fleet vehicle",Yes,No,AutoCheck,Clean Title,No,No,No,No,No,5YFEPMAE3MP182985,82985,No,01-25-2024
2021 Mazda 3,Select 4dr Hatchback,"$15,500",https://www.edmunds.com/mazda/3/2021/vin/JM1BPAKL1M1336807/?radius=25,"58,281 miles","No accidents, 1 Owner, Rental vehicle",Yes,No,AutoCheck,Clean Title,No,No,No,No,No,JM1BPAKL1M1336807,U17729,No,02-16-2024
2021 Toyota Camry,LE Sedan,"$17,888",https://www.edmunds.com/toyota/camry/2021/vin/4T1C11AKXMU550686/?radius=25,"43,270 miles","No accidents, 1 Owner, Corporate fleet vehicle",Yes,No,AutoCheck,Clean Title,No,No,No,No,No,4T1C11AKXMU550686,M67549,No,12-15-2022
2021 Honda Civic,Sport Sedan,"$16,500",https://www.edmunds.com/honda/civic/2021/vin/19XFC2F82ME202443/?radius=25,"42,838 miles","No accidents, 2 Owners, Personal use only",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,19XFC2F82ME202443,02443,No,12-27-2023
