year,make,model,trim,style,price,mileage,Accident Free Vehicle,Personal Use Only,History Provider,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,Free History Report,VIN,Stock,Certified Pre-Owned,Listed since,accidents,owners,usage,url
2021,Honda,CR-V,EX,4dr SUV,24091.0,8435.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HKRW2H59MH613213,HHMH613213U,Yes,2024-03-02,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/cr-v/2021/vin/2HKRW2H59MH613213/?radius=25
2021,Toyota,RAV4,LE,4dr SUV,18900.0,26994.0,Yes,No,AutoCheck,Clean Title,No,No,No,No,No,2T3H1RFV5MW176681,176681,No,2023-09-26,No accidents, 2 Owners, Corporate fleet vehicle,https://www.edmunds.com/toyota/rav4/2021/vin/2T3H1RFV5MW176681/?radius=25
2021,Toyota,RAV4,LE,4dr SUV,19505.0,34171.0,Yes,No,AutoCheck,Clean Title,No,No,No,No,No,2T3F1RFV4MC151912,51912,No,2024-01-25,No accidents, 2 Owners, Corporate fleet vehicle,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV4MC151912/?radius=25
2021,Honda,CR-V,EX-L,4dr SUV,25749.0,17096.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,5J6RW2H80MA010260,MA010260,Yes,2024-02-24,No accidents, 1 Owner, Personal use,https://www.edmunds.com/honda/cr-v/2021/vin/5J6RW2H80MA010260/?radius=25
2021,Toyota,RAV4,Adventure,4dr SUV,19695.0,65860.0,Yes,No,AutoCheck,Clean Title,No,No,No,No,No,2T3J1RFV3MW161727,3764P,No,2024-01-09,No accidents, 1 Owner, Rental vehicle,https://www.edmunds.com/toyota/rav4/2021/vin/2T3J1RFV3MW161727/?radius=25
2021,Mazda,CX-5,Grand,Touring 4dr SUV,20498.0,32963.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JM3KFBDM8M0302486,STK302486,No,2024-02-08,No accidents, 1 Owner, Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM8M0302486/?radius=25
2022,Toyota,RAV4,XLE,4dr SUV,21985.0,57779.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2T3P1RFV6NW298155,EU818,No,2024-02-14,No accidents, 1 Owner, Personal use only,https://www.edmunds.com/toyota/rav4/2022/vin/2T3P1RFV6NW298155/?radius=25
2021,Toyota,RAV4,XLE,4dr SUV,18988.0,63233.0,Yes,No,AutoCheck,Clean Title,No,No,No,No,No,2T3P1RFV3MW158188,EU774,No,2024-01-24,No accidents, 1 Owner, Rental vehicle,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV3MW158188/?radius=25
2021,Honda,CR-V,EX-L,4dr SUV,19500.0,33456.0,No,No,AutoCheck,Clean Title,No,No,No,No,No,7FARW1H89ME022290,22290,No,2023-12-12,2 Accidents, 2 Owners, Corporate fleet vehicle,https://www.edmunds.com/honda/cr-v/2021/vin/7FARW1H89ME022290/?radius=25
2021,Toyota,RAV4,XLE,4dr SUV,18309.0,61402.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2T3W1RFV3MW165864,3875P,No,2024-02-01,No accidents, 1 Owner, Personal use only,https://www.edmunds.com/toyota/rav4/2021/vin/2T3W1RFV3MW165864/?radius=25
2021,Mazda,CX-5,Touring,4dr SUV,17588.0,54762.0,Yes,No,AutoCheck,Clean Title,No,No,No,No,No,JM3KFBCM9M0356252,EU1151,No,2024-03-06,No accidents, 1 Owner, Rental vehicle,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM9M0356252/?radius=25
2021,Mazda,CX-5,Grand,Touring Reserve 4dr SUV,21815.0,43780.0,Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JM3KFBAY1M0412593,3967P,No,2024-02-23,No accidents, 1 Owner, Personal use only,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBAY1M0412593/?radius=25
2021,Mazda,CX-5,Grand,Touring 4dr SUV,17995.0,60943.0,No,No,AutoCheck,Clean Title,No,No,No,No,No,JM3KFBDM0M1329157,3988P,No,2024-02-26,2 Accidents, 1 Owner, Rental vehicle,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM0M1329157/?radius=25
