year_make_model,trim_style,price,url,mileage,accidents_owners_usage,Accident Free Vehicle,Personal Use Only,History Provider,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,Free History Report,VIN,Stock,Certified Pre-Owned,Listed since
Certified 2021 Honda CR-V,EX 4dr SUV,"$24,091",https://www.edmunds.com/honda/cr-v/2021/vin/2HKRW2H59MH613213/?radius=25,"8,435 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HKRW2H59MH613213,HHMH613213U,Yes,03-02-2024
2021 Toyota RAV4,LE 4dr SUV,"$18,900",https://www.edmunds.com/toyota/rav4/2021/vin/2T3H1RFV5MW176681/?radius=25,"26,994 miles","No accidents, 2 Owners, Corporate fleet vehicle",Yes,No,AutoCheck,Clean Title,No,No,No,No,No,2T3H1RFV5MW176681,176681,No,09-26-2023
2021 Toyota RAV4,LE 4dr SUV,"$19,505",https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV4MC151912/?radius=25,"34,171 miles","No accidents, 2 Owners, Corporate fleet vehicle",Yes,No,AutoCheck,Clean Title,No,No,No,No,No,2T3F1RFV4MC151912,51912,No,01-25-2024
Certified 2021 Honda CR-V,EX-L 4dr SUV,"$25,749",https://www.edmunds.com/honda/cr-v/2021/vin/5J6RW2H80MA010260/?radius=25,"17,096 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,5J6RW2H80MA010260,MA010260,Yes,02-24-2024
2021 Toyota RAV4,Adventure 4dr SUV,"$19,695",https://www.edmunds.com/toyota/rav4/2021/vin/2T3J1RFV3MW161727/?radius=25,"65,860 miles","No accidents, 1 Owner, Rental vehicle",Yes,No,AutoCheck,Clean Title,No,No,No,No,No,2T3J1RFV3MW161727,3764P,No,01-09-2024
2021 Mazda CX-5,Grand Touring 4dr SUV,"$20,498",https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM8M0302486/?radius=25,"32,963 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JM3KFBDM8M0302486,STK302486,No,02-08-2024
2022 Toyota RAV4,XLE 4dr SUV,"$21,985",https://www.edmunds.com/toyota/rav4/2022/vin/2T3P1RFV6NW298155/?radius=25,"57,779 miles","No accidents, 1 Owner, Personal use only",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2T3P1RFV6NW298155,EU818,No,02-14-2024
2021 Toyota RAV4,XLE 4dr SUV,"$18,988",https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV3MW158188/?radius=25,"63,233 miles","No accidents, 1 Owner, Rental vehicle",Yes,No,AutoCheck,Clean Title,No,No,No,No,No,2T3P1RFV3MW158188,EU774,No,01-24-2024
2021 Honda CR-V,EX-L 4dr SUV,"$19,500",https://www.edmunds.com/honda/cr-v/2021/vin/7FARW1H89ME022290/?radius=25,"33,456 miles","2 Accidents, 2 Owners, Corporate fleet vehicle",No,No,AutoCheck,Clean Title,No,No,No,No,No,7FARW1H89ME022290,22290,No,12-12-2023
2021 Toyota RAV4,XLE 4dr SUV,"$18,309",https://www.edmunds.com/toyota/rav4/2021/vin/2T3W1RFV3MW165864/?radius=25,"61,402 miles","No accidents, 1 Owner, Personal use only",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2T3W1RFV3MW165864,3875P,No,02-01-2024
2021 Mazda CX-5,Touring 4dr SUV,"$17,588",https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM9M0356252/?radius=25,"54,762 miles","No accidents, 1 Owner, Rental vehicle",Yes,No,AutoCheck,Clean Title,No,No,No,No,No,JM3KFBCM9M0356252,EU1151,No,03-06-2024
2021 Mazda CX-5,Grand Touring Reserve 4dr SUV,"$21,815",https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBAY1M0412593/?radius=25,"43,780 miles","No accidents, 1 Owner, Personal use only",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JM3KFBAY1M0412593,3967P,No,02-23-2024
2021 Mazda CX-5,Grand Touring 4dr SUV,"$17,995",https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM0M1329157/?radius=25,"60,943 miles","2 Accidents, 1 Owner, Rental vehicle",No,No,AutoCheck,Clean Title,No,No,No,No,No,JM3KFBDM0M1329157,3988P,No,02-26-2024
